id	char
0	

1	 
2	-
3	.
4	A
5	B
6	I
7	L
8	S
9	W
10	e
11	h
12	i
13	l
14	o
15	t
16	u
17	v
18	y
19	~
20	 
21	…
22	。
23	一
24	万
25	三
26	上
27	下
28	不
29	与
30	世
31	东
32	丝
33	两
34	个
35	中
36	临
37	为
38	丽
39	举
40	久
41	么
42	义
43	之
44	乌
45	乎
46	乐
47	也
48	乡
49	了
50	事
51	二
52	于
53	云
54	五
55	些
56	交
57	享
58	亮
59	亲
60	人
61	什
62	仅
63	仇
64	今
65	从
66	仓
67	他
68	付
69	代
70	以
71	们
72	仰
73	件
74	任
75	份
76	仿
77	伊
78	伏
79	休
80	会
81	伟
82	传
83	伤
84	伫
85	伴
86	似
87	但
88	位
89	低
90	住
91	体
92	何
93	佛
94	作
95	你
96	佳
97	使
98	依
99	信
100	俱
101	倔
102	倘
103	候
104	倚
105	倦
106	假
107	偎
108	偏
109	停
110	偶
111	傲
112	像
113	僧
114	儿
115	先
116	光
117	免
118	入
119	共
120	关
121	具
122	内
123	再
124	冒
125	写
126	冥
127	冬
128	冰
129	冲
130	决
131	况
132	冷
133	凄
134	凉
135	凌
136	几
137	凡
138	出
139	击
140	刀
141	分
142	切
143	划
144	列
145	初
146	别
147	到
148	刷
149	刺
150	刻
151	前
152	剪
153	割
154	力
155	加
156	动
157	努
158	励
159	勇
160	包
161	匆
162	化
163	千
164	升
165	午
166	华
167	卑
168	单
169	卖
170	即
171	却
172	卷
173	历
174	原
175	厢
176	厨
177	去
178	又
179	及
180	友
181	双
182	反
183	发
184	取
185	受
186	变
187	叠
188	口
189	句
190	另
191	只
192	叫
193	叮
194	可
195	台
196	右
197	叶
198	叹
199	各
200	吉
201	同
202	后
203	向
204	吗
205	吞
206	否
207	吧
208	听
209	吹
210	吻
211	呀
212	告
213	员
214	呢
215	周
216	味
217	命
218	和
219	咒
220	咖
221	咛
222	哀
223	响
224	哦
225	哪
226	哭
227	哲
228	唯
229	唱
230	啊
231	啡
232	啦
233	善
234	喜
235	喝
236	嗯
237	噩
238	回
239	因
240	困
241	围
242	圣
243	在
244	地
245	场
246	坎
247	坏
248	坚
249	坡
250	垂
251	埋
252	城
253	堆
254	声
255	处
256	复
257	夏
258	夕
259	外
260	多
261	夜
262	够
263	大
264	天
265	太
266	央
267	失
268	头
269	奈
270	奋
271	奏
272	奔
273	女
274	她
275	好
276	如
277	妆
278	妈
279	妙
280	始
281	姑
282	委
283	娓
284	娘
285	媚
286	子
287	季
288	孤
289	学
290	孩
291	宁
292	它
293	宇
294	守
295	安
296	完
297	宙
298	定
299	宛
300	实
301	害
302	家
303	容
304	寂
305	密
306	寒
307	寞
308	寥
309	寸
310	对
311	寻
312	封
313	将
314	小
315	少
316	尔
317	尘
318	尝
319	尤
320	就
321	尼
322	尽
323	局
324	居
325	屈
326	属
327	山
328	岁
329	岗
330	岸
331	川
332	左
333	己
334	已
335	市
336	布
337	帆
338	希
339	带
340	常
341	干
342	平
343	年
344	并
345	幸
346	幻
347	幼
348	幽
349	广
350	庄
351	庆
352	应
353	底
354	庞
355	度
356	座
357	建
358	开
359	异
360	弃
361	引
362	张
363	弦
364	弯
365	弱
366	弹
367	强
368	归
369	当
370	彩
371	影
372	彼
373	往
374	征
375	待
376	很
377	徐
378	得
379	微
380	心
381	忆
382	忍
383	忘
384	忙
385	忧
386	快
387	忱
388	念
389	忽
390	怀
391	怅
392	怎
393	怒
394	怕
395	思
396	急
397	怨
398	怪
399	总
400	恋
401	恍
402	恙
403	恨
404	息
405	恰
406	悄
407	悉
408	悔
409	患
410	悬
411	悲
412	悴
413	情
414	惆
415	惘
416	惚
417	惜
418	惧
419	想
420	愁
421	愈
422	意
423	感
424	愿
425	慈
426	慌
427	慕
428	慢
429	慰
430	憔
431	憾
432	懂
433	戏
434	成
435	我
436	或
437	戚
438	房
439	所
440	手
441	才
442	扎
443	打
444	扔
445	执
446	扬
447	找
448	把
449	折
450	抱
451	担
452	拥
453	拼
454	拿
455	持
456	挂
457	挡
458	挣
459	挤
460	挥
461	捂
462	换
463	掉
464	掠
465	接
466	推
467	握
468	撑
469	撒
470	撩
471	支
472	收
473	改
474	放
475	故
476	教
477	散
478	数
479	敲
480	整
481	斗
482	斜
483	断
484	新
485	方
486	旁
487	旅
488	旋
489	族
490	无
491	日
492	旧
493	早
494	时
495	明
496	昏
497	易
498	星
499	映
500	春
501	昨
502	是
503	晚
504	晨
505	景
506	晴
507	暂
508	暖
509	暗
510	暴
511	曲
512	更
513	曼
514	曾
515	替
516	最
517	月
518	有
519	朋
520	朗
521	望
522	期
523	木
524	未
525	本
526	朵
527	村
528	杖
529	束
530	条
531	来
532	杯
533	松
534	林
535	果
536	枪
537	某
538	柔
539	校
540	样
541	根
542	桂
543	桑
544	桨
545	梦
546	梳
547	棘
548	楚
549	楼
550	模
551	次
552	欢
553	欲
554	歇
555	歌
556	止
557	正
558	此
559	步
560	残
561	段
562	每
563	比
564	气
565	水
566	永
567	求
568	汗
569	江
570	汽
571	沉
572	没
573	沦
574	沧
575	河
576	沸
577	治
578	沿
579	泊
580	法
581	泡
582	波
583	泣
584	注
585	泪
586	洁
587	洋
588	洒
589	洱
590	活
591	流
592	浩
593	浪
594	浮
595	海
596	消
597	涉
598	涌
599	涯
600	淌
601	淡
602	深
603	清
604	渐
605	温
606	游
607	湃
608	湖
609	湿
610	溅
611	源
612	溺
613	滋
614	滑
615	满
616	滩
617	滴
618	漂
619	漠
620	漫
621	澈
622	澎
623	激
624	瀚
625	灌
626	火
627	灯
628	灵
629	灿
630	炉
631	点
632	烂
633	烈
634	烟
635	烧
636	热
637	焦
638	然
639	煌
640	照
641	熊
642	熟
643	燃
644	爱
645	爸
646	爹
647	片
648	牌
649	物
650	牵
651	狂
652	狈
653	独
654	狼
655	献
656	现
657	珍
658	班
659	理
660	琴
661	甘
662	甜
663	生
664	用
665	田
666	由
667	电
668	男
669	画
670	畅
671	界
672	畔
673	留
674	略
675	番
676	疯
677	疲
678	疼
679	痒
680	痕
681	痛
682	痴
683	白
684	百
685	的
686	皱
687	盖
688	目
689	盲
690	直
691	相
692	盼
693	眉
694	看
695	真
696	眶
697	眷
698	眼
699	着
700	睁
701	睛
702	睡
703	瞬
704	知
705	短
706	破
707	碌
708	碎
709	碧
710	祈
711	祝
712	神
713	祥
714	祷
715	禁
716	福
717	离
718	秋
719	种
720	秒
721	秘
722	积
723	移
724	稀
725	究
726	穷
727	空
728	穿
729	突
730	窗
731	立
732	站
733	竟
734	童
735	笑
736	笛
737	第
738	笼
739	等
740	筝
741	算
742	管
743	篝
744	精
745	紧
746	累
747	絮
748	縠
749	繁
750	纠
751	红
752	约
753	纪
754	纯
755	纷
756	纹
757	线
758	细
759	终
760	经
761	结
762	给
763	绚
764	绝
765	继
766	续
767	绽
768	绿
769	缓
